Feature,Importance
N_O_kappa_max_median,0.0016279337154356094
O_N_surface_area_min,0.0016275599441647308
N_N_surface_area_std,0.0016272669628161855
O_N_kappa_min_min,0.001624071082173266
N_N_surface_area_min,0.001615969504087657
C_C_kappa_max_median,0.0016114703041176426
H_O_kappa_min_mean,0.0016090688437774706
N_O_kappa_max_std,0.0016060660673754474
H_N_volume_max,0.0016037312958026352
H_N_kappa_max_median,0.0016019832103204479
H_C_kappa_min_median,0.0015998632474111263
O_N_kappa_max_max,0.0015984392460128792
N_C_volume_mean,0.001596201388700352
O_C_K_sum,0.0015953224400163096
C_O_kappa_min_std,0.0015950706516277028
O_C_K_mean,0.001589413505208748
N_C_K_max,0.0015881977423494462
C_S_H_sum,0.0015878183016113472
C_N_K_median,0.0015871011466744188
H_O_surface_area_sum,0.0015862371167564338
H_O_H_mean,0.0015856993111963364
C_N_K_sum,0.0015854047293730464
N_C_kappa_min_max,0.0015840366128253584
N_O_kappa_max_min,0.0015836793800585126
O_N_surface_area_median,0.0015825511344365129
O_C_K_min,0.001575987355934526
N_O_kappa_min_median,0.0015758532739030833
N_O_kappa_min_max,0.0015755995292644823
C_N_kappa_max_max,0.0015754317861559001
O_S_H_sum,0.001568998443676262
C_O_surface_area_std,0.00155965404063543
O_C_H_mean,0.0015579240244999743
N_O_K_mean,0.0015571358653961426
O_N_kappa_min_median,0.0015567469453161824
O_N_K_median,0.0015555064144909224
H_C_kappa_min_mean,0.0015545355316544027
C_C_K_mean,0.0015537383234218065
C_C_K_max,0.0015521340459254396
C_C_H_mean,0.0015494635684896823
H_O_kappa_max_mean,0.0015477198220952544
O_O_H_max,0.0015474659667894953
H_C_kappa_max_min,0.001547324701911355
C_O_K_mean,0.001542806648945002
O_C_volume_std,0.0015392090227914895
H_N_volume_sum,0.001538857029494672
O_N_kappa_min_max,0.0015383810798509328
O_C_kappa_min_sum,0.0015381183942341243
H_C_kappa_max_mean,0.0015343891784724815
H_C_K_min,0.0015291424500783661
H_O_surface_area_min,0.0015268621909092618
O_N_kappa_max_median,0.0015268075413393683
C_O_volume_std,0.0015258930093783553
O_O_K_mean,0.0015253377486309906
C_C_kappa_max_max,0.0015235567917308334
O_O_kappa_min_sum,0.0015213676324990339
H_N_surface_area_std,0.0015195002452519364
O_O_kappa_max_sum,0.0015180720224206494
H_C_H_max,0.0015157239454810126
N_C_surface_area_min,0.0015135405114249268
O_O_K_min,0.001513054679037296
H_N_surface_area_sum,0.001511301406379488
H_O_kappa_max_median,0.0015103802746457451
N_C_kappa_max_mean,0.0015063905427466235
H_O_H_max,0.0015010602018726217
H_O_K_sum,0.0014967801605192232
O_O_K_max,0.0014955827229151673
N_O_surface_area_mean,0.0014955103331134954
O_N_K_std,0.0014897529216992438
O_O_kappa_max_min,0.0014889110593841513
C_N_H_std,0.0014877451277874386
H_N_kappa_max_std,0.0014875855641581677
H_C_kappa_min_max,0.0014855809729283293
O_O_kappa_min_max,0.0014841642564592673
O_C_kappa_min_min,0.001483876394305599
N_N_H_max,0.0014827386383706458
H_O_volume_min,0.0014823748214183629
N_N_kappa_max_median,0.0014815306855526546
O_O_H_sum,0.0014800704089170183
O_S_kappa_max_std,0.001478772395486321
O_N_kappa_min_sum,0.0014747772177882478
H_O_K_max,0.0014728775745184272
N_N_K_median,0.0014693631772961832
H_O_H_median,0.001469308496192699
H_C_kappa_max_median,0.001467726599250051
C_O_H_std,0.0014666744528176667
O_S_H_max,0.0014663832960534415
C_N_K_min,0.001462720310203289
H_C_K_max,0.0014582086769643183
H_N_kappa_max_mean,0.0014551127273934516
O_O_H_median,0.0014541514070187645
H_N_H_max,0.0014540664802839443
N_C_kappa_max_max,0.001453951935656817
O_N_surface_area_sum,0.0014536889135259611
O_N_volume_median,0.001452031187248494
C_O_K_median,0.0014506010182022727
O_N_surface_area_std,0.0014491485960729667
O_O_K_sum,0.001448575611344488
