fold,rmse,mae,r2,pearson_r
1,1.3725324520625761,1.0718963581342826,0.5447359159335945,0.7388098055650116
2,1.328654736354132,1.0360674056385637,0.5462235051658888,0.7402382567433698
3,1.3097170373056435,1.0112176458617317,0.548277526956112,0.7409950066324846
4,1.3400805019028776,1.0390922597473957,0.5539262678333685,0.7479978020497716
5,1.3018996395364677,1.0188119022504647,0.5784423919705923,0.7629070278349843
